id,date,home_team,home_team_score,visit_team,visit_team_score
400899380,2017-10-26,Boston Celtics,122,Brooklyn,117
400899422,2017-10-27,Chicago,105,Boston Celtics,99
400899477,2017-10-29,Charlotte,98,Boston Celtics,104
400899511,2017-11-02,Boston Celtics,107,Chicago,100
400899518,2017-11-03,Cleveland,128,Boston Celtics,122
400899541,2017-11-06,Boston Celtics,107,Denver,123
400899557,2017-11-09,Washington,118,Boston Celtics,93
400899575,2017-11-11,Boston Celtics,115,NY Knicks,87
400899580,2017-11-12,Indiana,99,Boston Celtics,105
400899598,2017-11-14,New Orleans,106,Boston Celtics,105
400899611,2017-11-16,Boston Celtics,90,Dallas,83
400899629,2017-11-18,Boston Celtics,88,Golden State,104
400899638,2017-11-19,Detroit,92,Boston Celtics,94
400899655,2017-11-21,Minnesota,93,Boston Celtics,99
400899667,2017-11-23,Brooklyn,92,Boston Celtics,111
400899675,2017-11-25,Boston Celtics,103,San Antonio,109
400899706,2017-11-28,Miami,104,Boston Celtics,112
400899717,2017-11-30,Boston Celtics,114,Detroit,121
400899447,2017-12-02,Boston Celtics,97,Sacramento,92
400899736,2017-12-03,Philadelphia,106,Boston Celtics,107
400899753,2017-12-05,Houston,107,Boston Celtics,106
400899764,2017-12-07,Orlando,87,Boston Celtics,117
400899781,2017-12-09,Boston Celtics,94,Toronto,101
400899799,2017-12-11,Oklahoma City,99,Boston Celtics,96
400899825,2017-12-14,San Antonio,108,Boston Celtics,101
400899833,2017-12-16,Boston Celtics,96,Charlotte,88
400899852,2017-12-18,Miami,95,Boston Celtics,105
400899866,2017-12-20,Memphis,109,Boston Celtics,112
400899882,2017-12-22,Indiana,102,Boston Celtics,109
400899887,2017-12-23,Boston Celtics,112,Oklahoma City,117
400899898,2017-12-25,NY Knicks,114,Boston Celtics,119
400899914,2017-12-27,Boston Celtics,113,Memphis,103
400899930,2017-12-29,Cleveland,124,Boston Celtics,118
400899936,2017-12-30,Boston Celtics,117,Miami,114
400899423,2017-01-03,Boston Celtics,115,Utah,104
400899967,2017-01-06,Boston Celtics,110,Philadelphia,106
400899974,2017-01-07,Boston Celtics,117,New Orleans,108
400899993,2017-01-10,Toronto,114,Boston Celtics,106
400900004,2017-01-11,Boston Celtics,117,Washington,108
400900018,2017-01-13,Atlanta,101,Boston Celtics,103
400900039,2017-01-16,Boston Celtics,108,Charlotte,98
400900051,2017-01-18,Boston Celtics,106,NY Knicks,117
400900071,2017-01-21,Boston Celtics,123,Portland,127
400900097,2017-01-24,Washington,123,Boston Celtics,108
400900102,2017-01-25,Boston Celtics,120,Houston,109
400900118,2017-01-27,Boston Celtics,128,Orlando,98
400900127,2017-01-28,Milwaukee,108,Boston Celtics,112
400900142,2017-01-30,Boston Celtics,113,Detroit,109
400899391,2017-02-01,Boston Celtics,109,Toronto,104
400900156,2017-02-03,Boston Celtics,113,Los Angeles,107
400900171,2017-02-05,Boston Celtics,107,LA,102
400900198,2017-02-08,Sacramento,108,Boston Celtics,92
400900203,2017-02-09,Portland,111,Boston Celtics,120
400900220,2017-02-11,Utah,104,Boston Celtics,112
400900231,2017-02-13,Dallas,98,Boston Celtics,111
400900242,2017-02-15,Boston Celtics,116,Philadelphia,108
400900255,2017-02-16,Chicago,104,Boston Celtics,103
400900264,2017-02-24,Toronto,107,Boston Celtics,97
400900285,2017-02-26,Detroit,98,Boston Celtics,104
400900291,2017-02-27,Boston Celtics,98,Atlanta,114
400899432,2017-03-01,Boston Celtics,103,Cleveland,99
400900313,2017-03-03,Los Angeles,95,Boston Celtics,115
400900324,2017-03-05,Phoenix,109,Boston Celtics,106
400900340,2017-03-06,LA,116,Boston Celtics,102
400900354,2017-03-08,Golden State,86,Boston Celtics,99
400900365,2017-03-10,Denver,119,Boston Celtics,99
400900380,2017-03-12,Boston Celtics,100,Chicago,80
400900401,2017-03-15,Boston Celtics,117,Minnesota,104
400900417,2017-03-17,Brooklyn,95,Boston Celtics,98
400900432,2017-03-19,Philadelphia,105,Boston Celtics,99
400900442,2017-03-20,Boston Celtics,110,Washington,102
400900455,2017-03-22,Boston Celtics,109,Indiana,100
400900471,2017-03-24,Boston Celtics,130,Phoenix,120
400900488,2017-03-26,Boston Celtics,112,Miami,108
400900508,2017-03-29,Boston Celtics,100,Milwaukee,103
400900524,2017-03-31,Boston Celtics,117,Orlando,116
400899438,2017-04-02,NY Knicks,94,Boston Celtics,110
400900547,2017-04-05,Boston Celtics,91,Cleveland,114
400900555,2017-04-06,Atlanta,123,Boston Celtics,116
